acc_id,card_code,balance,owner_id,bank_country
29bd9897-ad26-47a0-bab7-301baf5928ca,GB61XEIZ96475147965326,998088.88,6a9df542-74f1-49f6-98cb-605dddc28437,South Africa
b881d096-5dcb-4fa1-aeb9-8f5e3cf1af67,GB31EHLL17184781548332,246798.6,1129ebc3-c8f3-4ef8-93b8-3fec0721322e,Congo
6865f274-a873-451e-906c-fb40ad5ecba4,GB49VIFE19929222617982,793929.31,e2c9f6fc-ceb8-4e2f-a19e-e49d34ca4da9,Kuwait
6ede0dc2-2b77-4a9e-a2df-bd5d564c993b,GB20URHO57491308372294,335249.07,7300c1fe-7bf7-45e7-a7d9-bd38c5dbd470,Russian Federation
846bbecb-de8b-4306-8061-1ae248f178a7,GB98XOQN90146201162242,231885.09,5f88bd47-ff35-4474-8f7c-0ae8cfe3581b,Christmas Island
45c6c962-79e4-486e-a0a5-5c85bd6da644,GB25GFXZ08995982795347,58359.04,e89a81c5-f967-4ea9-a736-0ffdffa767a1,Liberia
274055fb-40b3-495b-9816-331c84b6f90a,GB04ISIM35436751938371,159965.41,62b46527-21f8-424b-8afd-980b3dc9026c,Timor-Leste
7a9fdef3-cef4-43b1-b8c5-0ff54337ea96,GB45UIFK62571138224542,86136.08,13a1d6d8-73ae-42f4-9461-21202041a938,Tokelau
179a87eb-c55a-4db9-a6a4-0d3788b34d09,GB36ELLV84898191436817,333744.12,c1a2b0ea-e5d3-433b-a57a-3d83ddab32b9,Belarus
896ddc29-64cc-4c65-a56e-8cf61265fd20,GB72CJTB07071770246588,228570.86,82047454-19db-4721-ab65-e8ca3a1ab085,Uzbekistan
fb0f8aa0-6c61-4312-9619-c17799898a3b,GB26RFHJ53268579809539,17710.3,995a0486-3ba6-4424-99a6-3cedc0cc0ef7,Guam
a4286b74-ac77-4dc4-ba12-ec5660132c8f,GB58GFQC08296169123935,842015.99,50cc9109-5c36-47e7-be48-ae6cab2d00fa,Pakistan
39c51af4-9f9a-4710-84cb-ae9d497bacc0,GB75XKOX53829816103095,43832.02,d5daf1c1-f11a-49c5-bb40-c3f6887af5c8,Faroe Islands
ac538577-5cae-4049-a309-fff9f663320c,GB75OSWR98900546435094,975519.23,5a7b4b9e-06b0-4d92-a0a9-96510984a6d4,Guernsey
4a1cfac7-54ae-4728-a517-adbe7f0dc131,GB69IMHY98291894533597,59176.71,e0aa884f-21d8-4bae-8a5a-4251894b5422,Togo
deea76bc-7a69-4172-8139-c915886ab7a0,GB07XYWN18953318648266,433413.91,9a79ecc0-7860-4810-9cab-85cb6c2ce6a4,Solomon Islands
0efe6156-a17f-43a8-8e85-b9f48421129d,GB64ZNHY09040645434985,564317.43,57f98674-3dc1-4502-a69b-88d3edb75c7c,United Arab Emirates
4f04d391-10a5-4938-bfa2-7182f258eb74,GB89FHOM94154164426266,492880.47,9b3f71df-3989-493d-9ff0-f1405d124686,Madagascar
ab36b085-e923-418d-aeed-14305f885761,GB96FMKG20117132940460,67564.4,4f6bfa64-c63c-450c-a8e6-e1a0d8631517,Ecuador
76c2a54b-63b6-42bb-be78-51709f0a968f,GB96ZXFQ91013927868598,907507.09,1dd7b0d0-6d5a-49ef-b8c5-1e5d396a2879,Hong Kong
fa8fecb0-d1f6-4061-bfcc-9209b705b1da,GB73LMUI72866519826214,174294.25,9111be8e-ca71-4e3b-8246-f6c1492a1529,Swaziland
7732848a-03e4-4d79-944b-8076183154b1,GB05JEGK29904282433862,617538.75,3a16b804-a3bb-43ac-9ac5-556d4ebbd152,Nicaragua
fe36bb83-9818-4d3a-bb33-c0f909ba91b1,GB68NMLI09646343506090,515288.59,05f96a4b-1b4f-458f-b5c4-e3bcf93c8009,Jordan
a35ab7f7-2a60-4027-80f6-291aac5d4c64,GB13PWMQ21171893248626,750377.68,290ce96d-5917-4bab-8ae9-b3e2cc5e0a5a,Bulgaria
69f528d9-f5bd-4a1a-882f-0c605dd8b2ff,GB02DYPP65842452200877,862064.29,4ee2dc61-b14e-403e-b26a-7b64ac939625,Germany
103beddd-353b-4c3d-92d9-6de78965f081,GB13ZWLS09313368935053,67455.23,4b35b0ee-458b-4508-8526-f2a64e643c2e,Bulgaria
63982f7b-c1f9-4882-92ac-5c38ad82aeb9,GB61RSDU44109585522208,813009.94,c21b1e65-c4a5-431d-98b6-56d705d1b82e,New Caledonia
af31783a-31ae-40a3-9685-9cf4d377bbc7,GB81VZXF09748585190985,70014.89,671c2e64-5c8f-4891-be94-6e657bb1fbeb,Singapore
23b39629-8102-4ace-80de-f6acd9237a8d,GB60NDHH51282591693664,389983.93,f1de9100-a716-4ddf-90db-e87938be20a5,Vanuatu
0675128b-e4e7-4961-a527-ec0c7f442f93,GB53OEFA58084019005424,408567.76,1542c4c2-4ba7-403b-8887-14f19286cf90,Romania
a50e4e8a-2e88-404d-8cfa-138a4b8c94d4,GB70GQLW81640007313166,877369.83,b2d468db-8924-4482-ac49-29e9fed5f98a,Central African Republic
5bf6ce31-6fb2-4ab6-a59f-5de262f31f54,GB40XEYX14954310692151,289838.88,cfa2fb9f-03c4-4f3e-b25b-ff5286358053,Mali
01e00fa9-680c-4ef7-a131-4356cce4bdbf,GB57JNCL62928218219540,687537.78,964ffa61-5101-4144-beb4-900ef3dd725a,Falkland Islands (Malvinas)
800142d0-b732-4986-91c9-b240fd80f593,GB56OMHM58240170044472,306525.9,19812868-fa14-402f-914b-d32ab3a11e22,Slovakia (Slovak Republic)
64e4ea79-a138-4513-bfe2-4799e7087b15,GB26HAAO87399155322544,76041.69,2aea38d5-962d-4ac3-97b5-fcdb2c7d4b9d,Christmas Island
4b450d87-f4c1-4d3b-87c0-f43064205625,GB53PZLL59951942852603,543661.14,983b52d0-c911-477d-924c-b730ec3814a8,Aruba
631933e0-4a3d-44e4-894a-f5fff08c9b98,GB82EXQB09467083706378,513062.39,982163e9-7397-4d5c-b292-ebb61f99b6de,Isle of Man
218734c6-b4b0-42a6-b5e7-830f2e5cec7c,GB95QNZH38225788686720,694251.58,56e9c25f-1f91-4d60-80f2-42b37658fc3a,Sweden
0430494d-ff2c-4aa9-896a-3d2de5bf7216,GB40TYKZ70588713756730,111304.64,7f333c6c-c9a2-4945-90a4-d1c29e52f688,Austria
a3d0fa2f-218a-4018-9823-2bf155e9a65e,GB90CXFK79514101541436,218088.63,4834ac5b-b922-4e54-a45f-4ab646853eb2,Saint Vincent and the Grenadines
6a347161-7647-4b51-bd5f-955fca91315e,GB71MQPE47545633734840,10305.1,d843987e-181a-4396-9e62-0cc0552a7a15,Mozambique
d312ca97-3531-45b8-8f80-dc6ce924687f,GB93QLVI43219069679627,84901.74,889686bf-5045-4216-9943-07c83de0a69b,Gabon
5d7763f5-17cc-459b-89e6-f451f44b76e7,GB95DVOY81502044140030,694068.34,e9d16ba5-ef74-46a7-beb8-dcaca5bc99c2,Turks and Caicos Islands
6cc9a77d-e8ae-470d-9db0-f8ac1644db88,GB10WBCG72077415140483,576938.79,133d6185-eded-43cc-8568-822e9c988aea,Guinea
70cd535d-08b8-495c-b4e9-6bd866c69f01,GB93YOSQ34132036134884,718333.4,74aa9838-73b5-4a37-9695-7ff2712610ec,Niue
0b1adfe2-b7a1-485e-80fb-d86ff8b8bc11,GB84IYDK47782227580182,350660.94,4df41ca6-fb7e-40b2-88b0-1d7f6d8fed51,San Marino
3e54f00f-1c0a-41f7-8c96-2ea18b9180d7,GB60DLMC36865706734413,244981.91,cac14c52-d1df-43d1-9109-9a13b6e80d79,Liberia
ebbe3089-ff74-4d5f-b878-c556179f2fdc,GB59ENOU78783602496717,96000.57,50cc9109-5c36-47e7-be48-ae6cab2d00fa,Somalia
