pers_id,first_name,last_name,birthdate,nationality
9415dc2d-03df-46f9-b146-c4ef6b54d218,Zachary,Casey,1978-11-16,Saint Vincent and the Grenadines
10c4a2e0-0988-432d-b367-e100b0376036,Kristen,Houston,1977-01-07,Germany
a122297c-05b7-407e-bad7-a386f8e9d708,Amy,Maldonado,1940-10-22,Bosnia and Herzegovina
a4ed7b28-0c7b-4027-ac50-96fa22f5f0a1,Erica,Sanchez,2006-06-09,Libyan Arab Jamahiriya
679827ea-01c4-4ede-8982-1d69672550f6,Kelli,Williams,1943-11-29,Syrian Arab Republic
2dc569b8-ba05-4345-8afa-f9992b932af5,Andrew,Estes,1936-10-10,Gibraltar
d84c079b-ae5a-4052-8ef6-9e0f41b789e7,Mary,Brooks,1997-04-07,Romania
0e5cf378-1a6b-4654-8f5e-d060423f31d0,Marissa,Andrews,1982-04-23,Comoros
f6079105-5434-452a-9127-ed4d0e9d505b,Kristine,Snyder,1965-11-23,Nigeria
6312650a-d7fb-441b-a240-a42be9f2192d,Travis,Davis,1961-06-15,Croatia
578e0b87-e129-47aa-96d0-4e0f9eeec846,Justin,Cohen,1998-07-12,Morocco
52effeb3-c5ed-48df-b59b-b6d34d1374f0,Brittany,Rivas,1993-11-07,Sierra Leone
76774c96-db47-46c3-9d63-cfc4e51a536c,Allison,Larson,1976-08-15,Martinique
015efbf6-5c14-444e-837c-f70339d1c2aa,Lori,Smith,1937-07-07,Sudan
73c3107c-b200-4da1-acc8-ebecbd0ff754,Jacqueline,Weeks,2005-08-12,Liberia
b0308374-1b26-46ab-bd97-9b99aa1fdc88,Rebecca,Hansen,1995-02-13,Saudi Arabia
88ff68c4-dc42-4252-9f9c-caf1916b3875,Melissa,Henderson,1948-09-16,Mexico
bebd1c67-c4a6-4d93-9d96-8471c255bf75,Philip,Taylor,2005-11-23,Vietnam
c42a6d87-540c-4ad5-b47d-75b67669f186,Brenda,Williams,1971-08-15,Sao Tome and Principe
e43290f6-592e-44b9-8383-c93564b712f5,Lee,Johnson,1941-05-08,Algeria
ffca7f65-c4c5-42ea-b09c-07dabd0380eb,Michael,Taylor,2000-08-09,Estonia
d0fd9313-923b-4379-9747-31d7e3668eaa,Deanna,Clark,1966-02-08,Lebanon
906ffa96-77a4-480f-a65b-70a2ae119596,Jessica,Payne,1990-09-14,Sao Tome and Principe
1210f190-705f-4faf-b644-77f1a10aea86,Trevor,Bell,1942-10-02,Cambodia
9bd5d47f-d7c0-44d3-9e13-7ca98e195800,John,Edwards,1979-07-30,Jordan
025b951a-becd-4664-b79f-43fef56f5a79,Anne,Rangel,1986-10-11,Slovenia
6df103c3-5498-4ad2-8397-e793f764b61c,Jennifer,Ross,1941-07-14,Reunion
8791a59c-6bda-42e9-bda8-e88148e3d2d5,Eric,Stevenson,1960-08-25,Saint Lucia
883c3743-7b20-49ce-b446-2011721d47ac,Joshua,Owen,2001-06-11,Philippines
a8aa9998-b9e8-46bf-b94e-5e341238390b,Michael,Gibson,1958-12-27,Zimbabwe
a266ae57-1ba9-44aa-a964-a39eb2d2bd31,Allison,Hendricks,1963-09-25,British Indian Ocean Territory (Chagos Archipelago)
5f88bd47-ff35-4474-8f7c-0ae8cfe3581b,Alison,Carpenter,1990-10-13,Anguilla
6209607f-d6b4-4672-8400-c0eb693ea268,James,Mcclure,1942-04-27,Uruguay
2210a2e3-d002-4dff-9c8c-49c36d231d2e,Allen,Woodward,1976-01-19,Brazil
26306e4d-5573-4c81-9b79-acf240fd5cd1,Stephen,Floyd,1982-12-18,Pakistan
f9bf69ce-6e1f-4689-93d2-69bf36e3f2b1,Gary,Wood,1984-10-02,Zambia
58585e7d-7eb3-43e2-9007-fdbdc469f83c,Bryan,Thomas,1997-12-11,British Indian Ocean Territory (Chagos Archipelago)
9bec01d4-f9b7-49f3-b19e-1d09b1335bc5,Erik,Shepherd,1993-03-11,Bhutan
1ddf4afe-4228-4319-b8ed-992262d187ba,Matthew,Morgan,1966-02-21,United States Minor Outlying Islands
98ba81f2-4fe0-4505-a5ac-2cf63221d45f,Theresa,Perez,1979-04-24,Venezuela
e2c293a2-b756-4274-929a-8d2f3cfaa215,Tiffany,Mitchell,1990-10-30,New Zealand
0b1802cc-6e72-4759-9ab0-d9b0b1d409ad,Michael,Howell,1982-04-21,El Salvador
91ac002c-336f-4e67-ab40-e89faafce452,James,Cook,1945-07-01,Brunei Darussalam
ef1fa44e-6673-48ac-b72a-0d6cbb5159fc,Amy,Wright,1987-12-20,Pitcairn Islands
