acc_id,card_code,balance,comp_id,bank_country
ea39cc36-658e-4f46-ba4f-dc73bf52f6f9,GB14PHPO89790232804991,449455.35,0677fe44-ae7f-4203-8bb5-be3907bdebc0,Moldova
67ddee1d-a190-476b-bc96-db341524b2a5,GB05XSGW13290374699731,762831.42,7bbcda23-c091-4112-bf0f-6ca4baddafcd,Cuba
d49bd53c-9faf-441d-af3a-1241af48ef0d,GB30BLQE03782518245228,908595.31,492182bc-e661-41dc-848d-731cb76cc40e,Madagascar
3c0ebfba-7706-4cb9-88da-cdb6f2cde380,GB45GGMZ50800444509280,556619.4,0d6e5f00-510c-40e8-bfdb-18c3a95908d5,Slovakia (Slovak Republic)
efebd677-6186-4c82-882b-30a37bc87f0e,GB07CWSL40944703883000,540448.42,355ecb1e-ed93-4ed8-95ad-45c78b99f5af,Nigeria
0bd04bf8-bbb9-4fdd-b581-ed947dffdabe,GB57TAMR68668185666609,274472.34,dafc2c9e-9247-4655-983f-5df4c80df30a,Indonesia
bf6a46e2-bd0d-47cf-82f0-c64fb67aeed6,GB73CROH78451963262775,840375.87,6cdf283f-4a09-416b-9d22-3ece60fc4f0a,Faroe Islands
5b8d4448-1ec7-4f96-8031-8cb98bc831cc,GB48QAMV13846427294550,897289.31,b1605325-e15e-4e4a-88d5-68b4e7f662e9,Kazakhstan
a33fefab-eeba-4852-9b48-38679cdebb12,GB67OFWB74925274654845,785418.04,b36b4b7d-e134-473f-80a6-ff0cc1f4c3ac,Yemen
c0c7a65b-fadf-4e49-993e-34e95550d984,GB58SIWF70697633722529,463891.86,f3bd2d23-1c44-4df5-9963-b6275c4ede19,Antarctica (the territory South of 60 deg S)
09cd5731-295c-4d32-97ae-3d6918b7258b,GB18ADBG90114751620837,369937.11,63641cec-b245-45c7-ad1a-a7dee2432c70,Turks and Caicos Islands
a84fc7ed-da92-4d3f-8f95-824279319cd8,GB51CIPA20545422575606,163586.12,2e46c88b-5c58-4851-85fe-ce2f24488fce,Romania
a54f1ef8-b9a2-4783-b960-621a321a5aed,GB71JOBV31304384979744,650510.55,d6b472a2-2ba3-455f-9c30-8bfc66bc2fe0,Malaysia
e27982dd-eacf-411c-a464-17a42d489469,GB96TBJO86829370968686,545448.76,31224013-574c-4567-836d-a074ec32ac22,Guernsey
